kernel,bandwidth,mmd2,p_value,perm_time
rbf,median,0.35066668468468465,0.009900990099009901,68.39253425598145
rbf,1.0,0.0012817986187857017,0.009900990099009901,13.279177188873291
linear,,57.60362522122123,0.009900990099009901,4.623375654220581
poly,,0.008802852079374297,0.009900990099009901,4.834509611129761
poly,,0.24783428453453427,0.009900990099009901,7.625605583190918
laplace,median,0.02317729884923976,0.009900990099009901,130.81008076667786
laplace,0.5,2.0698569320005064e-05,0.009900990099009901,81.67289090156555
